Sample,Sex,Zfp335,DietArm
BAMDuplicatesRemoved/N2_S34_L004_marked_sorted.bam,F,wild,controlArm
BAMDuplicatesRemoved/N3_S35_L004_marked_sorted.bam,M,mutant,controlArm
BAMDuplicatesRemoved/N4_S36_L004_marked_sorted.bam,M,wild,controlArm
BAMDuplicatesRemoved/N5_S37_L004_marked_sorted.bam,F,mutant,statinArm
BAMDuplicatesRemoved/N6_S38_L004_marked_sorted.bam,F,wild,statinArm
BAMDuplicatesRemoved/N7_S39_L004_marked_sorted.bam,M,mutant,statinArm
BAMDuplicatesRemoved/N8_S40_L004_marked_sorted.bam,M,wild,statinArm
BAMDuplicatesRemoved/N9_S41_L004_marked_sorted.bam,F,mutant,statinArm
BAMDuplicatesRemoved/N10_S42_L004_marked_sorted.bam,F,wild,statinArm
BAMDuplicatesRemoved/N11_S43_L004_marked_sorted.bam,M,mutant,statinArm
BAMDuplicatesRemoved/N12_S44_L004_marked_sorted.bam,M,wild,statinArm
BAMDuplicatesRemoved/N13_S45_L004_marked_sorted.bam,F,mutant,controlArm
BAMDuplicatesRemoved/N14_S46_L004_marked_sorted.bam,F,wild,controlArm
BAMDuplicatesRemoved/N15_S47_L004_marked_sorted.bam,M,mutant,controlArm
BAMDuplicatesRemoved/N16_S48_L004_marked_sorted.bam,M,wild,controlArm
BAMDuplicatesRemoved/N17_S49_L004_marked_sorted.bam,F,mutant,statinArm
BAMDuplicatesRemoved/N18_S50_L004_marked_sorted.bam,F,wild,statinArm
BAMDuplicatesRemoved/N19_S51_L004_marked_sorted.bam,M,mutant,statinArm
BAMDuplicatesRemoved/N20_S52_L004_marked_sorted.bam,M,wild,statinArm
BAMDuplicatesRemoved/N21_S53_L004_marked_sorted.bam,M,mutant,controlArm
BAMDuplicatesRemoved/N22_S54_L004_marked_sorted.bam,M,wild,controlArm
BAMDuplicatesRemoved/N23_S55_L004_marked_sorted.bam,F,mutant,statinArm
BAMDuplicatesRemoved/N24_S56_L004_marked_sorted.bam,F,wild,statinArm
BAMDuplicatesRemoved/N25_S57_L004_marked_sorted.bam,F,mutant,controlArm
BAMDuplicatesRemoved/N26_S58_L004_marked_sorted.bam,F,wild,controlArm
BAMDuplicatesRemoved/N27_S59_L004_marked_sorted.bam,M,mutant,controlArm
BAMDuplicatesRemoved/N28_S60_L004_marked_sorted.bam,M,wild,controlArm
BAMDuplicatesRemoved/N29_S61_L004_marked_sorted.bam,F,mutant,statinArm
BAMDuplicatesRemoved/N30_S62_L004_marked_sorted.bam,F,wild,statinArm
BAMDuplicatesRemoved/N31_S63_L004_marked_sorted.bam,M,mutant,statinArm
BAMDuplicatesRemoved/N32_S64_L004_marked_sorted.bam,M,wild,statinArm
BAMDuplicatesRemoved/N33_S65_L004_marked_sorted.bam,M,mutant,controlArm
BAMDuplicatesRemoved/N34_S66_L004_marked_sorted.bam,M,wild,controlArm
BAMDuplicatesRemoved/N35_S67_L004_marked_sorted.bam,M,mutant,statinArm
BAMDuplicatesRemoved/N36_S68_L004_marked_sorted.bam,M,wild,statinArm
